rd,packet_id,packet_injection_rd
3,5,1
4,2,1
5,1,1
6,7,4
7,11,5
8,4,1
9,3,1
10,0,1
11,10,5
12,8,4
13,6,4
14,13,5
15,12,5
16,9,5
17,14,7
18,15,7
19,17,9
20,16,9
21,19,12
22,18,12
23,20,12
24,22,14
25,21,14
26,23,15
27,24,16
28,25,18
29,26,18
30,27,19
31,28,21
32,29,24
33,30,24
34,31,24
35,32,28
36,33,28
37,36,29
38,34,29
39,37,29
40,35,29
41,38,30
42,39,31
43,40,32
44,41,33
45,42,34
46,43,35
47,45,37
48,44,37
49,46,38
50,47,40
51,48,43
52,49,43
53,50,46
54,52,46
55,51,46
56,54,47
57,53,47
58,55,48
59,56,49
60,57,50
61,59,51
62,58,51
63,60,52
64,62,55
65,61,55
66,63,55
67,64,56
68,65,57
69,66,58
70,67,59
71,68,61
72,70,62
73,69,62
74,71,63
75,72,64
76,73,65
77,74,66
78,75,68
79,76,68
80,77,69
81,78,70
82,79,71
83,80,72
84,81,73
85,83,78
86,82,78
87,84,79
88,85,79
89,86,80
90,87,80
91,88,81
92,90,82
93,89,82
94,91,83
95,92,85
96,93,86
97,94,87
98,95,87
99,96,89
100,97,89
101,98,90
102,99,92
103,101,93
104,100,93
105,103,96
106,102,96
107,104,96
108,105,99
109,106,99
110,107,101
111,108,101
112,109,102
113,110,104
114,111,105
115,113,105
116,112,105
117,114,106
118,115,107
119,116,108
120,117,110
121,118,111
122,119,113
123,121,115
124,120,115
125,123,117
126,122,117
127,125,118
128,124,118
129,126,119
130,127,120
131,128,120
132,131,123
133,129,123
134,130,123
135,133,125
136,132,125
137,135,127
138,134,127
139,136,128
140,137,129
141,138,130
142,139,132
143,140,133
144,141,133
145,142,135
146,143,136
147,146,138
148,145,138
149,144,138
150,147,141

